monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
9.0045,20857618.333333332,667092.3735153428,1.5846833333333334e-09,3.197682337777369e-11,1.3164765168082558e+16,466784595184677.4
9.005,21345689.333333332,662472.0350568269,1.58835e-09,3.2355860365627763e-11,1.3441751477451046e+16,464701279419608.7
9.0055,21822469.0,677091.9618604255,1.5926733333333331e-09,3.141881177468888e-11,1.3704584290887992e+16,474039530715443.8
9.006,22248511.0,670935.0257334908,1.5958566666666666e-09,3.1719530786777694e-11,1.3944122436427778e+16,463946238539929.0
9.0065,22623146.333333332,682529.0746864441,1.5974066666666667e-09,3.062997279354534e-11,1.4164790792082478e+16,459922566729620.8
9.007,22980481.666666668,633282.8879429264,1.5966933333333333e-09,3.148512717670573e-11,1.4395008713194278e+16,430170690388935.8
9.0075,23292489.333333332,614916.5829544147,1.5957933333333334e-09,3.0711692127483626e-11,1.4598402147153376e+16,410636471131441.2
9.008,23524066.666666668,670971.8724673435,1.5955700000000001e-09,3.068318106063981e-11,1.4745171762958882e+16,422352920311135.06
9.0085,23711903.333333332,675025.2575543626,1.5934966666666664e-09,3.069509787137573e-11,1.4882332959323232e+16,429727471490919.1
9.009,23826755.0,647032.1859900015,1.5908466666666666e-09,2.9945584538180794e-11,1.497899288324451e+16,398952732061572.3
9.0095,23865534.666666668,615358.237600126,1.5869366666666668e-09,2.9008854395396846e-11,1.5040250234456362e+16,379777807944840.5
9.01,23815378.666666668,606722.3290569856,1.58218e-09,2.9035061563564862e-11,1.5054055801794278e+16,392125968279789.7
9.0105,23762561.0,652992.2101549145,1.5809766666666666e-09,2.8514207569794675e-11,1.5031713452795598e+16,402608935647412.3
9.011,23715517.666666668,602429.4672418782,1.5830866666666667e-09,2.911616790261611e-11,1.4982097705072318e+16,373866051810599.2
9.0115,23596473.666666668,651505.1311051458,1.5837066666666666e-09,2.846249696237726e-11,1.4900458597005274e+16,375774395322793.4
9.012,23509752.333333332,657575.9428243506,1.5859866666666667e-09,2.8125179703129615e-11,1.4824479794191998e+16,389427254803083.9
9.0125,23463347.666666668,609389.4765823686,1.5884733333333333e-09,2.8764812416098488e-11,1.477244813041553e+16,375735669708626.7
9.013,23394228.0,656202.6016124898,1.5923999999999998e-09,2.841959359315333e-11,1.46922596121414e+16,388402098232582.6
9.0135,23381879.0,663058.853675147,1.5924499999999998e-09,2.8091836892592188e-11,1.4683681067585626e+16,373533259464628.2
9.014,23339857.666666668,633082.6011274778,1.5923533333333333e-09,2.797553276227873e-11,1.4658449981536462e+16,369548884588828.6
9.0145,23295934.0,643657.6753080786,1.5917433333333334e-09,2.8596748649686275e-11,1.463637192170075e+16,367256077016628.75
9.015,23306311.0,611218.6900946338,1.5882433333333334e-09,2.8124440142575823e-11,1.4674899413561634e+16,331873612490906.56
9.0155,23357584.333333332,574849.7653964326,1.5936433333333334e-09,2.6103877745142275e-11,1.4658489219460928e+16,388995940906432.75
9.016,23350778.666666668,574845.8275479897,1.5922866666666668e-09,2.5621503338667213e-11,1.4666623249156714e+16,387104052818591.0
9.0165,23398911.333333332,571157.9197536645,1.5923533333333333e-09,2.7060325817205782e-11,1.4696343135002264e+16,382026681192670.5
9.017,23418229.666666668,563946.9661753073,1.5914433333333331e-09,2.6385180183832976e-11,1.4716758622030826e+16,374691072323017.75
9.0175,23399646.0,583953.0579276043,1.59044e-09,2.57577405841428e-11,1.4714304467610358e+16,387526952789136.25
9.018,23439291.666666668,599761.1188901237,1.5889466666666667e-09,2.5456019589349256e-11,1.4752936199750698e+16,390443682524705.3
9.0185,23478531.666666668,602386.032422178,1.5882366666666668e-09,2.6054100125188223e-11,1.4784040211303222e+16,377060539989387.25
9.019,23522472.333333332,563549.6763128637,1.5870433333333334e-09,2.6333234387999768e-11,1.4822842909765514e+16,350988186642285.56
